2026-04-13 08:39:33 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:05:20 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:05:29 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 13:05:29 | INFO     | agents.auditor | assess:57 | Auditor Agent — starting initial assessment
2026-04-13 13:08:02 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:08:05 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:08:09 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 13:08:09 | INFO     | agents.auditor | assess:57 | Auditor Agent — starting initial assessment
2026-04-13 13:12:44 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:12:50 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 13:12:50 | INFO     | agents.auditor | assess:57 | Auditor Agent — starting initial assessment
2026-04-13 13:14:11 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:14:23 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Access Control - Multi-Factor Authentication (MFA): All priv...
2026-04-13 13:14:23 | INFO     | agents.auditor | assess:57 | Auditor Agent — starting initial assessment
2026-04-13 13:14:45 | DEBUG    | agents.auditor | assess:74 | Auditor raw response (first 200 chars): '```json\n{\n  "control_objective": "Ensure that all privileged user accounts — including Global Administrators, Security Administrators, and Exchange Administrators — are protected with multi-factor aut'
2026-04-13 13:14:45 | INFO     | agents.auditor | assess:79 | Auditor Agent — assessment complete: Partially Met
2026-04-13 13:14:45 | INFO     | agents.pipeline | run:82 | Pipeline — Step 1/3 complete (Auditor)
2026-04-13 13:14:45 | INFO     | agents.reviewer | review:58 | Reviewer Agent — starting quality review
2026-04-13 13:15:15 | DEBUG    | agents.reviewer | review:74 | Reviewer raw response (first 200 chars): '```json\n{\n  "control_objective": "Ensure that all privileged user accounts — including Global Administrators, Security Administrators, and Exchange Administrators — are protected with multi-factor aut'
2026-04-13 13:15:15 | INFO     | agents.reviewer | review:79 | Reviewer Agent — review complete: Not Met
2026-04-13 13:15:15 | INFO     | agents.pipeline | run:86 | Pipeline — Step 2/3 complete (Reviewer)
2026-04-13 13:15:15 | INFO     | agents.questioning | generate_questions:77 | Questioning Agent — generating follow-up questions
2026-04-13 13:15:25 | DEBUG    | agents.questioning | generate_questions:93 | Questioning raw response: '["Can you provide Conditional Access policies or equivalent MFA enforcement controls that specifically cover Security Administrators and Exchange Administrators role groups, or evidence that these rol'
2026-04-13 13:15:25 | INFO     | agents.questioning | generate_questions:96 | Questioning Agent — generated 5 question(s)
2026-04-13 13:15:25 | INFO     | agents.pipeline | run:92 | Pipeline — Step 3/3 complete (Questioning): 5 question(s)
2026-04-13 13:15:25 | INFO     | agents.pipeline | run:100 | Pipeline — audit complete
2026-04-13 13:25:58 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:28:31 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:35:57 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:36:56 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:37:17 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Mobile device policy...
2026-04-13 13:37:17 | INFO     | agents.auditor | assess:57 | Auditor Agent — starting initial assessment
2026-04-13 13:37:39 | DEBUG    | agents.auditor | assess:74 | Auditor raw response (first 200 chars): '```json\n{\n  "control_objective": "To ensure that standards defining which mobile devices and specific hardware/software releases are accepted to access the organisation\'s systems, services, and inform'
2026-04-13 13:37:39 | INFO     | agents.auditor | assess:79 | Auditor Agent — assessment complete: Not Met
2026-04-13 13:37:39 | INFO     | agents.pipeline | run:82 | Pipeline — Step 1/3 complete (Auditor)
2026-04-13 13:37:39 | INFO     | agents.reviewer | review:58 | Reviewer Agent — starting quality review
2026-04-13 13:38:13 | DEBUG    | agents.reviewer | review:74 | Reviewer raw response (first 200 chars): '```json\n{\n  "control_objective": "To ensure that formal standards are established, communicated, and maintained that explicitly define which mobile devices (by type, make, model) and which hardware/so'
2026-04-13 13:38:13 | INFO     | agents.reviewer | review:79 | Reviewer Agent — review complete: Not Met
2026-04-13 13:38:13 | INFO     | agents.pipeline | run:86 | Pipeline — Step 2/3 complete (Reviewer)
2026-04-13 13:38:13 | INFO     | agents.questioning | generate_questions:77 | Questioning Agent — generating follow-up questions
2026-04-13 13:38:20 | DEBUG    | agents.questioning | generate_questions:93 | Questioning raw response: '["Can you provide a document or appendix that defines the specific mobile device makes, models, operating system versions, and minimum software/patch levels that are accepted for accessing organisatio'
2026-04-13 13:38:20 | INFO     | agents.questioning | generate_questions:96 | Questioning Agent — generated 5 question(s)
2026-04-13 13:38:20 | INFO     | agents.pipeline | run:92 | Pipeline — Step 3/3 complete (Questioning): 5 question(s)
2026-04-13 13:38:20 | INFO     | agents.pipeline | run:100 | Pipeline — audit complete
2026-04-13 13:46:39 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:46:42 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:49:04 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:49:06 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 13:49:44 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 14:11:34 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 14:11:35 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 14:14:37 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
2026-04-13 14:15:26 | INFO     | agents.pipeline | run:76 | Pipeline — starting for control: Mobile device policy...
2026-04-13 14:15:26 | INFO     | agents.auditor | assess:57 | Auditor Agent — starting initial assessment
2026-04-13 14:15:46 | DEBUG    | agents.auditor | assess:74 | Auditor raw response (first 200 chars): '```json\n{\n  "control_objective": "To ensure that standards defining which mobile devices and specific hardware/software releases are accepted to access the organisation\'s systems, services, and inform'
2026-04-13 14:15:46 | INFO     | agents.auditor | assess:79 | Auditor Agent — assessment complete: Not Met
2026-04-13 14:15:46 | INFO     | agents.pipeline | run:82 | Pipeline — Step 1/3 complete (Auditor)
2026-04-13 14:15:46 | INFO     | agents.reviewer | review:58 | Reviewer Agent — starting quality review
2026-04-13 14:16:15 | DEBUG    | agents.reviewer | review:74 | Reviewer raw response (first 200 chars): '```json\n{\n  "control_objective": "To ensure that formal standards defining which specific mobile devices (by type, make, model) and hardware/software releases (e.g., minimum OS versions, firmware leve'
2026-04-13 14:16:15 | INFO     | agents.reviewer | review:79 | Reviewer Agent — review complete: Not Met
2026-04-13 14:16:15 | INFO     | agents.pipeline | run:86 | Pipeline — Step 2/3 complete (Reviewer)
2026-04-13 14:16:15 | INFO     | agents.questioning | generate_questions:77 | Questioning Agent — generating follow-up questions
2026-04-13 14:16:23 | DEBUG    | agents.questioning | generate_questions:93 | Questioning raw response: '```json\n["Does the organisation maintain a separate standard, appendix, or configuration baseline that lists the specific mobile device types, makes, models, and minimum acceptable operating system or'
2026-04-13 14:16:23 | INFO     | agents.questioning | generate_questions:96 | Questioning Agent — generated 5 question(s)
2026-04-13 14:16:23 | INFO     | agents.pipeline | run:92 | Pipeline — Step 3/3 complete (Questioning): 5 question(s)
2026-04-13 14:16:23 | INFO     | agents.pipeline | run:100 | Pipeline — audit complete
2026-04-13 16:03:44 | INFO     | agents.pipeline | __init__:55 | AuditPipeline initialised — model: claude-opus-4-6
